Genere Anni Matematica Italiano Logica Test Totale CDL 
F 19 20.03 2.24 5.36 27.63 47.652 "ECONOMIA AZIENDALE"
M 19 8.95 15.15 3.63 27.72 47.688 "MARKETING E GEST. IMPRESE"
F 19 6.28 8.51 0.08 14.87 47.948 "ECONOMIA AZIENDALE"
F 19 17.36 6.28 6.72 30.36 48.144 "ECONOMIA AZIENDALE"
M 20 10.24 16.01 4.48 30.73 48.292 "ECONOMIA AZIENDALE"
M 21 9.37 -1.27 3.19 11.29 48.316 "MARKETING E GEST. IMPRESE"
F 20 10.69 4.04 11.6 26.33 48.332 "MARKETING E GEST. IMPRESE"
M 23 9.81 10.69 10.72 31.23 48.492 "AMMINISTRAZIONE E CONTROLLO"
F 24 8.92 13.81 8.95 31.68 48.672 "AMMINISTRAZIONE E CONTROLLO"
M 19 12.92 6.27 11.59 30.77 48.908 "ECONOMIA AZIENDALE"
M 19 10.72 0.92 10.28 21.92 48.968 "ECONOMIA AZIENDALE"
F 20 7.16 5.8 9.36 22.32 49.128 "ECONOMIA AZIENDALE"
F 26 10.69 12.05 10.27 33.01 49.204 "ECONOMIA E FINANZA"
F 19 11.59 5.4 -0.36 16.63 49.252 "MARKETING E GEST. IMPRESE"
M 21 11.15 12.48 8.05 31.68 49.272 "MARKETING E GEST. IMPRESE"
M 19 1.8 17.36 2.27 21.43 49.372 "MARKETING E GEST. IMPRESE"
M 20 7.6 3.6 16.48 27.68 49.472 "MARKETING E GEST. IMPRESE"
M 31 9.8 6.69 9.8 26.29 49.516 "CONSULENZA AZ.LE E GIURIDICA"
M 19 15.59 7.57 10.72 33.88 49.552 "MARKETING E GEST. IMPRESE"
F 19 0.48 15.15 6.27 21.89 49.556 "ECONOMIA AZIENDALE"
F 19 9.36 4.48 15.6 29.44 49.576 "ECONOMIA AZIENDALE"
F 46 8.92 2.71 22.69 34.32 49.728 "AMMINISTRAZIONE E CONTROLLO"
M 20 14.71 7.15 12.48 34.33 49.732 "MARKETING E GEST. IMPRESE"
M 20 13.37 17.37 3.63 34.37 49.748 ECONOMIA
M 20 10.71 12.04 5.84 28.59 49.836 "MARKETING E GEST. IMPRESE"
M 25 11.6 7.59 16.03 35.21 50.084 "ECONOMIA E FINANZA"
F 19 11.15 6.27 9.37 26.79 50.316 "MARKETING E GEST. IMPRESE"
F 24 12.45 2.23 9.36 24.04 50.416 "MARKETING E GEST. IMPRESE"
M 19 8.93 12.05 12.48 33.47 50.588 "CONSULENZA AZ.LE E GIURIDICA"
M 20 8.45 10.71 5.37 24.53 50.612 "MARKETING E GEST. IMPRESE"
F 19 10.25 6.72 7.61 24.59 50.636 "CONSULENZA AZ.LE E GIURIDICA"
F 19 10.25 6.72 7.61 24.59 50.636 "ECONOMIA GEST. SERV. TURISTICI"
F 20 16.92 5.37 12.93 35.23 50.692 "MARKETING E GEST. IMPRESE"
F 20 9.33 13.83 6.27 29.43 50.772 "ECONOMIA GEST. SERV. TURISTICI"
F 19 20.91 2.72 13.36 36.99 50.796 "MARKETING E GEST. IMPRESE"
M 19 19.59 13.37 4.05 37.01 50.804 ECONOMIA
F 22 20.47 4.49 12.05 37.01 50.804 "ECONOMIA GEST. SERV. TURISTICI"
F 19 12.47 5.79 8.48 26.73 50.892 "MARKETING E GEST. IMPRESE"
F 20 5.8 9.36 7.15 22.31 50.924 "MARKETING E GEST. IMPRESE"
M 19 9.36 5.37 8.04 22.77 51.108 ECONOMIA
M 22 13.79 5.81 9.37 28.97 51.188 "ECONOMIA GEST. SERV. TURISTICI"
M 19 18.24 7.15 6.71 32.09 51.236 "MARKETING E GEST. IMPRESE"
M 19 19.59 6.73 9.39 35.71 51.484 "MARKETING E GEST. IMPRESE"
M 20 15.57 11.16 12.04 38.77 51.508 "MARKETING E GEST. IMPRESE"
F 20 10.72 0.08 8.48 19.28 51.512 "ECONOMIA AZIENDALE"
F 19 13.83 16.04 8.95 38.81 51.524 "ECONOMIA E FINANZA"
M 20 5.36 15.15 18.68 39.19 51.676 "MARKETING E GEST. IMPRESE"
M 19 11.59 8.93 18.69 39.21 51.684 "MARKETING E GEST. IMPRESE"
M 21 17.37 6.73 3.19 27.29 51.716 "ECONOMIA AZIENDALE"
M 21 14.25 6.73 9.39 30.37 51.748 "MARKETING E GEST. IMPRESE"
F 19 20.01 2.68 10.72 33.41 51.764 "ECONOMIA GEST. SERV. TURISTICI"
M 22 8.93 8.04 21.35 38.32 51.928 "AMMINISTRAZIONE E CONTROLLO"
M 20 15.15 14.68 10.27 40.09 52.036 "ECONOMIA AZIENDALE"
F 21 13.36 11.59 15.59 40.53 52.212 ECONOMIA
F 22 13.36 11.59 15.59 40.53 52.212 "ECONOMIA GEST. SERV. TURISTICI"
M 19 11.15 10.28 19.13 40.56 52.224 "ECONOMIA E FINANZA"
M 20 16.47 11.6 12.49 40.56 52.224 "ECONOMIA AZIENDALE"
M 20 10.69 12.49 16.03 39.21 52.284 "ECONOMIA AZIENDALE"
M 19 4.49 10.24 8.03 22.76 52.304 "ECONOMIA AZIENDALE"
F 19 17.8 3.15 12.48 33.43 52.372 "MARKETING E GEST. IMPRESE"
M 19 15.59 0.95 4.96 21.49 52.396 ECONOMIA
M 19 16.47 12.04 11.16 39.67 52.468 "ECONOMIA AZIENDALE"
F 19 4.04 13.37 17.8 35.21 52.484 "ECONOMIA GEST. SERV. TURISTICI"
M 23 16 5.8 7.56 29.36 52.544 "MARKETING E GEST. IMPRESE"
F 19 13.35 6.27 17.35 36.96 52.584 "MARKETING E GEST. IMPRESE"
F 19 8.04 16.04 8.51 32.59 52.636 "MARKETING E GEST. IMPRESE"
F 21 13.33 3.13 10.23 26.69 52.676 ECONOMIA
M 19 12.01 17.81 12.04 41.87 52.748 "ECONOMIA AZIENDALE"
F 35 4.96 17.37 12.05 34.39 52.756 "ECONOMIA GEST. SERV. TURISTICI"
M 19 15.57 4.92 15.59 36.08 52.832 "MARKETING E GEST. IMPRESE"
F 19 20.91 9.8 11.6 42.31 52.924 "ECONOMIA E FINANZA"
F 19 1.41 10.28 6.73 18.43 52.972 "ECONOMIA AZIENDALE"
F 19 8.49 5.4 10.72 24.61 53.044 "MARKETING E GEST. IMPRESE"
F 19 15.57 5.8 9.36 30.73 53.092 "MARKETING E GEST. IMPRESE"
M 20 8.49 3.57 11.16 23.23 53.092 "AMMINISTRAZIONE E CONTROLLO"
F 19 7.57 16.03 19.59 43.19 53.276 "ECONOMIA AZIENDALE"
F 19 18.69 11.15 12.03 41.87 53.348 "MARKETING E GEST. IMPRESE"
M 19 11.6 15.15 13.83 40.57 53.428 "MARKETING E GEST. IMPRESE"
M 20 13.36 4.03 2.25 19.64 53.456 "AMMINISTRAZIONE E CONTROLLO"
F 19 6.25 15.59 7.12 28.96 53.584 "MARKETING E GEST. IMPRESE"
M 21 5.8 13.81 21.36 40.97 53.588 "MARKETING E GEST. IMPRESE"
F 19 15.57 12.92 15.59 44.08 53.632 "CONSULENZA AZ.LE E GIURIDICA"
M 19 15.13 12.49 16.48 44.11 53.644 ECONOMIA
F 20 12.45 15.57 13.35 41.37 53.748 "MARKETING E GEST. IMPRESE"
F 19 11.56 2.28 3.59 17.43 53.772 "MARKETING E GEST. IMPRESE"
M 21 16.92 12.05 15.6 44.57 53.828 "ECONOMIA AZIENDALE"
F 34 9.33 1.35 11.59 22.27 53.908 "ECONOMIA GEST. SERV. TURISTICI"
M 20 9.39 8.93 7.17 25.49 53.996 "ECONOMIA E FINANZA"
M 19 16.47 12.93 12.91 42.31 54.124 "MARKETING E GEST. IMPRESE"
F 19 8.05 8.95 17.81 34.81 54.124 "ECONOMIA GEST. SERV. TURISTICI"
M 23 11.15 10.68 11.59 33.41 54.164 "MARKETING E GEST. IMPRESE"
M 19 15.57 11.15 17.36 44.08 54.232 "ECONOMIA AZIENDALE"
M 21 6.27 12.03 12.49 30.79 54.316 "MARKETING E GEST. IMPRESE"
M 19 20.01 5.81 12.48 38.31 54.324 "MARKETING E GEST. IMPRESE"
M 21 9.36 16.01 20.45 45.83 54.332 "MARKETING E GEST. IMPRESE"
M 19 16.03 12.47 8.49 36.99 54.396 "ECONOMIA AZIENDALE"
M 19 17.36 -1.31 12.05 28.11 54.444 "CONSULENZA AZ.LE E GIURIDICA"
M 20 9.36 12.48 21.35 43.19 54.476 "ECONOMIA E FINANZA"
M 20 14.25 17.81 14.27 46.33 54.532 "ECONOMIA E FINANZA"
M 19 16.01 11.59 14.24 41.84 54.536 "ECONOMIA AZIENDALE"
F 49 7.13 10.28 8.05 25.47 54.588 "MARKETING E GEST. IMPRESE"
F 19 12.47 14.69 16.47 43.63 54.652 ECONOMIA
M 19 11.13 12.45 11.15 34.73 54.692 "ECONOMIA AZIENDALE"
M 20 12.48 7.57 13.37 33.43 54.772 "ECONOMIA AZIENDALE"
M 20 16.03 6.25 9.83 32.11 54.844 "MARKETING E GEST. IMPRESE"
M 19 24.89 8.93 5.84 39.67 54.868 "AMMINISTRAZIONE E CONTROLLO"
M 19 24.89 8.93 5.84 39.67 54.868 "ECONOMIA GEST. SERV. TURISTICI"
M 19 10.71 15.59 19.59 45.88 54.952 "MARKETING E GEST. IMPRESE"
M 19 19.12 12.48 12.92 44.52 55.008 "CONSULENZA AZ.LE E GIURIDICA"
M 19 12.92 12.92 14.27 40.11 55.044 "CONSULENZA AZ.LE E GIURIDICA"
F 19 18.24 0.91 19.57 38.72 55.088 "MARKETING E GEST. IMPRESE"
F 19 18.24 0.91 19.57 38.72 55.088 "ECONOMIA GEST. SERV. TURISTICI"
M 19 24.45 8.03 13.81 46.29 55.116 "CONSULENZA AZ.LE E GIURIDICA"
M 20 13.36 16.03 16.91 46.29 55.116 "MARKETING E GEST. IMPRESE"
F 19 14.24 1.39 14.24 29.87 55.148 "ECONOMIA GEST. SERV. TURISTICI"
M 20 16.47 9.37 13.37 39.21 55.284 "ECONOMIA E FINANZA"
F 19 10.28 12.49 8.95 31.72 55.288 "MARKETING E GEST. IMPRESE"
M 19 18.69 10.69 16.03 45.41 55.364 ECONOMIA
F 19 8.05 12.04 17.81 37.91 55.364 "MARKETING E GEST. IMPRESE"
F 19 20.92 6.73 17.81 45.47 55.388 ECONOMIA
F 21 16.92 6.69 17.36 40.97 55.388 "ECONOMIA AZIENDALE"
M 20 25.79 8.45 14.24 48.48 55.392 "ECONOMIA E FINANZA"
M 19 16.01 12.92 15.13 44.07 55.428 "ECONOMIA AZIENDALE"
M 19 14.25 11.16 14.27 39.68 55.472 "ECONOMIA AZIENDALE"
M 19 11.16 16.04 12.48 39.68 55.472 "MARKETING E GEST. IMPRESE"
M 19 16.04 17.8 4.47 38.31 55.524 "MARKETING E GEST. IMPRESE"
M 19 15.57 12.48 17.81 45.87 55.548 "ECONOMIA E FINANZA"
M 19 20.47 6.69 6.71 33.87 55.548 "MARKETING E GEST. IMPRESE"
F 19 15.57 6.25 12.04 33.87 55.548 "ECONOMIA AZIENDALE"
M 23 12.92 8.47 12.49 33.88 55.552 "MARKETING E GEST. IMPRESE"
M 20 20.91 6.71 21.36 48.97 55.588 "MARKETING E GEST. IMPRESE"
F 19 9.83 8.05 11.6 29.48 55.592 "ECONOMIA AZIENDALE"
F 39 12.91 7.12 14.24 34.27 55.708 "MARKETING E GEST. IMPRESE"
F 20 6.24 15.59 15.56 37.39 55.756 "MARKETING E GEST. IMPRESE"
M 19 13.36 12.48 11.59 37.43 55.772 "ECONOMIA AZIENDALE"
F 19 17.8 14.25 8.45 40.51 55.804 "ECONOMIA AZIENDALE"
F 19 7.6 17.37 11.15 36.12 55.848 "ECONOMIA AZIENDALE"
M 19 16.91 4.47 10.25 31.63 55.852 ECONOMIA
F 19 18.68 19.15 8.91 46.73 55.892 "MARKETING E GEST. IMPRESE"
F 19 6.72 13.83 14.27 34.81 55.924 "ECONOMIA E FINANZA"
F 20 22.68 5.84 9.36 37.88 55.952 "ECONOMIA AZIENDALE"
F 19 13.36 10.27 14.27 37.89 55.956 "MARKETING E GEST. IMPRESE"
M 20 2.25 23.13 18.69 44.08 56.032 "MARKETING E GEST. IMPRESE"
M 20 8.48 14.71 20.91 44.09 56.036 "MARKETING E GEST. IMPRESE"
F 19 19.13 12.92 18.25 50.31 56.124 "MARKETING E GEST. IMPRESE"
M 20 21.8 6.72 8.49 37.01 56.204 "MARKETING E GEST. IMPRESE"
M 19 12.05 -5.72 5.37 11.71 56.284 ECONOMIA
F 19 9.39 12.05 2.29 23.73 56.292 "ECONOMIA AZIENDALE"
F 19 18.68 18.24 9.37 46.29 56.316 "MARKETING E GEST. IMPRESE"
F 20 8.51 4.96 20.92 34.39 56.356 "ECONOMIA GEST. SERV. TURISTICI"
F 19 9.79 16.47 14.25 40.51 56.404 "ECONOMIA E FINANZA"
M 20 5.84 4.96 5.84 16.64 56.456 "ECONOMIA AZIENDALE"
F 19 10.28 6.73 19.15 36.16 56.464 "ECONOMIA AZIENDALE"
F 19 10.28 6.73 19.15 36.16 56.464 "ECONOMIA GEST. SERV. TURISTICI"
M 19 16.03 14.27 16.48 46.77 56.508 "MARKETING E GEST. IMPRESE"
M 20 16.48 9.83 4.07 30.37 56.548 "ECONOMIA GEST. SERV. TURISTICI"
M 19 18.24 10.25 12.47 40.96 56.584 "MARKETING E GEST. IMPRESE"
F 19 4.92 1.36 10.69 16.97 56.588 "CONSULENZA AZ.LE E GIURIDICA"
F 19 12.48 5.8 10.69 28.97 56.588 "MARKETING E GEST. IMPRESE"
M 19 11.6 15.57 9.36 36.53 56.612 "ECONOMIA E FINANZA"
F 19 0.08 12.05 12.49 24.63 56.652 "MARKETING E GEST. IMPRESE"
M 19 20.03 11.59 11.16 42.77 56.708 "ECONOMIA AZIENDALE"
F 19 16.03 16.48 17.81 50.32 56.728 "MARKETING E GEST. IMPRESE"
M 19 19.59 12.05 14.27 45.91 56.764 "MARKETING E GEST. IMPRESE"
F 19 10.28 7.59 19.15 37.01 56.804 "MARKETING E GEST. IMPRESE"
F 19 16.45 8.03 8.03 32.51 56.804 "MARKETING E GEST. IMPRESE"
F 19 7.59 13.37 4.07 25.03 56.812 "ECONOMIA AZIENDALE"
F 19 1.8 4.95 13.81 20.56 56.824 "ECONOMIA AZIENDALE"
F 19 19.12 12.92 8.03 40.07 56.828 "ECONOMIA AZIENDALE"
M 19 23.13 13.37 15.6 52.11 56.844 "MARKETING E GEST. IMPRESE"
M 19 18.24 18.69 10.71 47.64 56.856 ECONOMIA
M 19 13.83 18.25 15.6 47.68 56.872 "ECONOMIA AZIENDALE"
M 20 15.13 10.25 4.45 29.84 56.936 "ECONOMIA E FINANZA"
M 19 14.24 16.48 14.25 44.97 56.988 "ECONOMIA AZIENDALE"
M 19 25.35 4.92 14.71 44.97 56.988 "MARKETING E GEST. IMPRESE"
F 20 14.68 18.68 19.13 52.49 56.996 "ECONOMIA AZIENDALE"
M 19 23.13 6.73 22.69 52.56 57.024 "ECONOMIA AZIENDALE"
F 19 14.24 7.17 14.71 36.12 57.048 "ECONOMIA GEST. SERV. TURISTICI"
M 19 14.71 9.79 13.35 37.84 57.136 "MARKETING E GEST. IMPRESE"
M 19 19.56 5.79 20.03 45.37 57.148 "MARKETING E GEST. IMPRESE"
F 20 8.93 11.59 24.91 45.43 57.172 "MARKETING E GEST. IMPRESE"
M 19 22.24 13.37 17.37 52.99 57.196 "MARKETING E GEST. IMPRESE"
F 20 18.25 14.27 19.15 51.67 57.268 "MARKETING E GEST. IMPRESE"
F 19 7.16 12.92 7.61 27.69 57.276 "MARKETING E GEST. IMPRESE"
M 19 15.57 16.03 16.03 47.63 57.452 "ECONOMIA AZIENDALE"
F 25 11.6 17.37 14.27 43.24 57.496 "ECONOMIA E FINANZA"
M 19 19.12 8.01 14.68 41.81 57.524 "ECONOMIA AZIENDALE"
M 20 26.67 4.48 22.68 53.83 57.532 "MARKETING E GEST. IMPRESE"
F 19 17.8 13.37 10.72 41.89 57.556 "MARKETING E GEST. IMPRESE"
F 19 20.92 3.19 17.81 41.92 57.568 "AMMINISTRAZIONE E CONTROLLO"
M 20 24.47 6.73 13.83 45.03 57.612 "ECONOMIA E FINANZA"
F 19 14.23 16.89 8 39.12 57.648 "MARKETING E GEST. IMPRESE"
F 19 6.72 21.36 11.16 39.24 57.696 "ECONOMIA AZIENDALE"
F 19 10.72 8.05 8.51 27.28 57.712 "MARKETING E GEST. IMPRESE"
F 19 6.28 20.03 4.07 30.37 57.748 "MARKETING E GEST. IMPRESE"
F 19 3.63 19.15 3.19 25.96 57.784 "MARKETING E GEST. IMPRESE"
M 19 16.04 12.48 24.47 52.99 57.796 "ECONOMIA AZIENDALE"
M 18 19.15 4.49 17.37 41.01 57.804 "ECONOMIA AZIENDALE"
M 19 16.03 4.04 4.51 24.57 57.828 ECONOMIA
M 32 15.57 8.49 6.69 30.76 57.904 "ECONOMIA AZIENDALE"
M 19 20.91 12.91 19.57 53.39 57.956 "ECONOMIA AZIENDALE"
M 46 12.48 12.05 8.03 32.56 58.024 "ECONOMIA E FINANZA"
M 19 21.36 12.47 18.25 52.08 58.032 "ECONOMIA AZIENDALE"
M 19 18.25 20.47 13.37 52.09 58.036 "MARKETING E GEST. IMPRESE"
M 20 19.12 7.57 20.89 47.59 58.036 "ECONOMIA AZIENDALE"
M 20 22.68 4.93 20.01 47.63 58.052 "MARKETING E GEST. IMPRESE"
M 19 20.03 12.47 15.15 47.64 58.056 "MARKETING E GEST. IMPRESE"
F 19 14.68 9.8 18.68 43.16 58.064 "ECONOMIA E FINANZA"
M 19 20.03 16.47 18.69 55.19 58.076 "ECONOMIA E FINANZA"
M 19 11.6 17.81 21.36 50.77 58.108 "ECONOMIA E FINANZA"
F 20 16.03 15.59 14.68 46.29 58.116 "ECONOMIA GEST. SERV. TURISTICI"
F 20 16.04 13.83 12.05 41.92 58.168 "MARKETING E GEST. IMPRESE"
F 19 12.91 0.01 18.69 31.61 58.244 "ECONOMIA E FINANZA"
M 19 26.68 10.25 18.69 55.63 58.252 "MARKETING E GEST. IMPRESE"
F 19 16.92 8.93 5.84 31.69 58.276 "MARKETING E GEST. IMPRESE"
M 19 26.23 7.13 16.45 49.81 58.324 "MARKETING E GEST. IMPRESE"
F 19 8.91 16.04 16.03 40.97 58.388 "ECONOMIA GEST. SERV. TURISTICI"
M 20 15.12 13.36 18.69 47.17 58.468 "ECONOMIA GEST. SERV. TURISTICI"
F 19 22.68 12.04 12.47 47.19 58.476 "MARKETING E GEST. IMPRESE"
M 19 17.37 13.83 8.51 39.71 58.484 "ECONOMIA E FINANZA"
F 19 10.69 10.25 11.59 32.53 58.612 "ECONOMIA E FINANZA"
F 21 12.91 20.91 21.35 55.16 58.664 "ECONOMIA AZIENDALE"
M 21 7.57 12.92 18.24 38.73 58.692 "ECONOMIA AZIENDALE"
F 19 8.05 8.51 10.28 26.84 58.736 "MARKETING E GEST. IMPRESE"
M 20 19.57 17.37 20.03 56.97 58.788 "MARKETING E GEST. IMPRESE"
M 19 15.6 10.28 19.15 45.03 58.812 "ECONOMIA GEST. SERV. TURISTICI"
F 19 10.24 17.8 8.03 36.07 58.828 "MARKETING E GEST. IMPRESE"
F 19 11.15 8.04 16.91 36.09 58.836 "ECONOMIA AZIENDALE"
M 19 8.91 11.6 15.59 36.09 58.836 "ECONOMIA GEST. SERV. TURISTICI"
M 18 23.13 15.15 19.15 57.43 58.972 "ECONOMIA AZIENDALE"
F 19 11.15 4.04 16.92 32.11 59.044 "MARKETING E GEST. IMPRESE"
M 19 17.8 14.71 17.81 50.32 59.128 "MARKETING E GEST. IMPRESE"
M 19 23.13 8.49 21.8 53.43 59.172 "ECONOMIA AZIENDALE"
M 20 7.61 20.92 8.51 37.04 59.216 "CONSULENZA AZ.LE E GIURIDICA"
M 20 16.92 12.93 22.24 52.09 59.236 "ECONOMIA AZIENDALE"
F 19 15.15 16.03 8.95 40.12 59.248 "ECONOMIA AZIENDALE"
M 19 19.59 15.15 12.93 47.67 59.268 "ECONOMIA AZIENDALE"
F 19 6.24 17.36 19.59 43.19 59.276 "MARKETING E GEST. IMPRESE"
F 19 12.01 12.04 10.25 34.31 59.324 "MARKETING E GEST. IMPRESE"
M 19 9.81 16.04 8.48 34.33 59.332 "MARKETING E GEST. IMPRESE"
F 20 9.81 13.36 11.16 34.33 59.332 "MARKETING E GEST. IMPRESE"
M 20 16.04 18.25 22.69 56.99 59.396 "ECONOMIA AZIENDALE"
M 19 23.57 16.47 12.49 52.53 59.412 "ECONOMIA AZIENDALE"
F 19 15.13 14.71 13.8 43.64 59.456 ECONOMIA
M 23 22.69 13.83 19.15 55.67 59.468 "ECONOMIA AZIENDALE"
M 19 13.37 7.61 22.69 43.68 59.472 "MARKETING E GEST. IMPRESE"
F 19 12.45 4.04 22.69 39.19 59.476 "MARKETING E GEST. IMPRESE"
M 19 18.24 11.15 21.8 51.19 59.476 "CONSULENZA AZ.LE E GIURIDICA"
F 19 12.45 4.04 22.69 39.19 59.476 "ECONOMIA GEST. SERV. TURISTICI"
F 19 16.03 19.57 23.13 58.73 59.492 ECONOMIA
F 19 17.36 10.72 18.69 46.77 59.508 "CONSULENZA AZ.LE E GIURIDICA"
F 19 22.24 3.13 20.01 45.39 59.556 "ECONOMIA AZIENDALE"
M 19 17.81 23.57 11.57 52.96 59.584 "MARKETING E GEST. IMPRESE"
M 20 14.23 12.48 17.36 44.07 59.628 "MARKETING E GEST. IMPRESE"
M 23 24.47 8.03 23.57 56.07 59.628 "ECONOMIA AZIENDALE"
F 19 25.35 12.93 17.81 56.09 59.636 "AMMINISTRAZIONE E CONTROLLO"
M 19 19.13 4.95 15.59 39.67 59.668 ECONOMIA
M 19 12.04 3.61 18.25 33.91 59.764 "MARKETING E GEST. IMPRESE"
M 19 12.04 3.61 18.25 33.91 59.764 "ECONOMIA GEST. SERV. TURISTICI"
M 19 12.93 2.29 6.71 21.93 59.772 "ECONOMIA GEST. SERV. TURISTICI"
F 19 7.15 19.59 2.73 29.47 59.788 "MARKETING E GEST. IMPRESE"
M 20 15.57 23.13 5.79 44.49 59.796 "MARKETING E GEST. IMPRESE"
M 20 15.57 23.13 5.79 44.49 59.796 "ECONOMIA GEST. SERV. TURISTICI"
F 20 15.57 12.47 16.47 44.51 59.804 "CONSULENZA AZ.LE E GIURIDICA"
M 19 14.71 14.71 22.69 52.11 59.844 "ECONOMIA AZIENDALE"
M 19 22.24 19.13 18.25 59.63 59.852 ECONOMIA
F 21 24.01 0.47 9.81 34.29 59.916 "MARKETING E GEST. IMPRESE"
F 21 24.01 0.47 9.81 34.29 59.916 "ECONOMIA GEST. SERV. TURISTICI"
M 19 21.36 13.81 18.69 53.87 59.948 "ECONOMIA AZIENDALE"
F 19 15.59 11.6 2.72 29.91 59.964 "MARKETING E GEST. IMPRESE"
M 19 19.15 14.71 23.13 56.99 59.996 "CONSULENZA AZ.LE E GIURIDICA"
M 20 21.79 21.8 16.48 60.07 60.028 "ECONOMIA AZIENDALE"
M 19 21.36 15.59 23.13 60.08 60.032 "ECONOMIA AZIENDALE"
M 19 8.04 14.24 9.39 31.67 60.068 "MARKETING E GEST. IMPRESE"
F 19 1.4 0.52 -1.69 0.23 60.092 "MARKETING E GEST. IMPRESE"
F 19 12.04 9.39 5.84 27.27 60.108 "AMMINISTRAZIONE E CONTROLLO"
M 19 8.45 15.13 12.91 36.49 60.196 "AMMINISTRAZIONE E CONTROLLO"
M 19 14.69 13.81 11.16 39.67 60.268 "MARKETING E GEST. IMPRESE"
M 19 18.24 1.81 22.68 42.73 60.292 "MARKETING E GEST. IMPRESE"
M 21 20.89 15.15 21.79 57.83 60.332 "MARKETING E GEST. IMPRESE"
M 19 16.03 16.48 13.37 45.88 60.352 "MARKETING E GEST. IMPRESE"
M 19 24.91 5.84 15.15 45.89 60.356 "MARKETING E GEST. IMPRESE"
F 19 11.16 10.28 12.49 33.93 60.372 "CONSULENZA AZ.LE E GIURIDICA"
M 21 4.89 8.04 0 12.93 60.372 "ECONOMIA AZIENDALE"
M 19 20.03 19.15 21.8 60.97 60.388 "ECONOMIA E FINANZA"
M 20 15.6 15.6 10.28 41.48 60.392 "ECONOMIA AZIENDALE"
M 20 16.03 14.24 12.92 43.19 60.476 "CONSULENZA AZ.LE E GIURIDICA"
M 19 10.24 18.68 17.35 46.27 60.508 ECONOMIA
F 19 21.36 10.28 19.13 50.77 60.508 "MARKETING E GEST. IMPRESE"
F 19 18.69 12.91 14.71 46.31 60.524 "CONSULENZA AZ.LE E GIURIDICA"
F 19 21.79 15.13 16.91 53.83 60.532 "MARKETING E GEST. IMPRESE"
F 19 15.59 11.16 7.61 34.36 60.544 "ECONOMIA E FINANZA"
F 19 10.27 13.83 10.28 34.37 60.548 "AMMINISTRAZIONE E CONTROLLO"
M 19 17.8 8.03 23.56 49.39 60.556 "ECONOMIA E FINANZA"
M 19 21.36 19.15 20.92 61.43 60.572 "ECONOMIA AZIENDALE"
F 19 14.27 13.83 24.47 52.56 60.624 "ECONOMIA E FINANZA"
F 19 8.47 17.36 5.84 31.67 60.668 "MARKETING E GEST. IMPRESE"
F 19 14.71 9.81 19.15 43.67 60.668 "MARKETING E GEST. IMPRESE"
